,name,sex,person,line,episode,season,words
39,viserys, m,viserys," You would turn me into one of them, wouldn't you? Next you'll want to braid my hair.",4,1,17
40,viserys, m,viserys, You do not talk back to me!,4,1,7
41,viserys, m,viserys, You are a horselord's slut. And now you've woken the dragon...,4,1,11
42,viserys, m,viserys, She has to eat a whole heart? I hope that wasn’t my horse.,6,1,13
43,viserys, m,viserys, She’ll never keep it down.,6,1,5
44,viserys, m,viserys, Tell me what she is saying.,6,1,6
45,viserys, m,viserys, He won’t be a real Targaryen. He won’t be a true dragon.,6,1,12
46,viserys, m,viserys, They love her.,6,1,3
47,viserys, m,viserys, It’s not my law.,6,1,4
48,viserys, m,viserys, Whatever is hers is also mine.,6,1,6
49,viserys, m,viserys," I need a large army… I’m the last hope of a dynasty, Mormont. The greatest dynasty this world has ever seen, on my shoulders since I was five years old and no one has ever given me what they gave to her in that tent. Never. Not a piece of it… How can I carry what I need to carry without it? Hmm? Who can rule without wealth, or fear, or love? Oh, you stand there, all nobility and honor. You don’t think I see you looking at my little sister, hmm? Don’t think I know what you want? I don’t care. You can have her. She can be queen of the savages and dine on the finest bloody horseparts, and you can dine on whichever parts of her you like. But let me go.",6,1,135
50,viserys, m,viserys, You swore an oath to me. Does loyalty mean nothing to you?,6,1,12
51,viserys, m,viserys, And yet here you stand?,6,1,5
52,viserys, m,viserys, Daenerys! Where’s my sister?,6,1,4
53,viserys, m,viserys, Where is she? I’m here for the feast. The whore’s feast.,6,1,11
54,viserys, m,viserys, Get your hands off me! No one touches the dragon!,6,1,10
55,viserys, m,viserys, Khal Drogo! I’m here for the feast.,6,1,7
56,viserys, m,viserys, That is no place for a king.,6,1,7
57,viserys, m,viserys, Keep away from me!,6,1,4
58,viserys, m,viserys, There she is.,6,1,3
59,viserys, m,viserys," They can’t kill us. They can’t shed blood in their sacred city. (moving his sword over everyone in the room, stopping on Daenerys’ stomach) But I can. I want what I came for. I want the crown he promised me. He bought you. But he never paid for you.",6,1,49
60,viserys, m,viserys, Tell him I want what was bargained for or I’m taking you back. He can keep the baby. I’ll cut it out and leave it for him.,6,1,27
61,viserys, m,viserys, What’s he saying?,6,1,3
62,viserys, m,viserys, That was all I wanted. W-what was promised.,6,1,8
63,viserys, m,viserys, No! You cannot touch me! I am the dragon! I am the dragon! I want my crown! Ahh!,6,1,18
64,viserys, m,viserys," No. Dany! Dany, tell them, make them! You can’t!",6,1,9
65,viserys, m,viserys, Dany please!,6,1,2
66,rickon, m,rickon, Old Nan said they turn your skull into a cup and make you drink your own blood from it.,9,3,19
67,rickon, m,rickon, That’s what Old Nan said.,9,3,5
68,rickon, m,rickon, What’s That?,9,3,2
69,rickon, m,rickon, Where?,9,3,1
70,rickon, m,rickon, [Surprised] Me? I’m coming with you.,9,3,6
71,rickon, m,rickon, I’m coming with you.  I’m your brother.  I have to protect you.,9,3,12
72,rickon, m,rickon, We’re not Southerners.,9,3,3
73,rickon, m,rickon, And I don’t want to leave you.,9,3,7
74,rickon, m,rickon," [Crying, looks at OSHA]  I know how to swing a sword.",9,3,11
75,rickon, m,rickon, What's happening?,6,3,2
76,rickon, m,rickon, What's wrong with him?,6,3,4
77,rickon, m,rickon, We'll make you better. LUWIN I feel just fine.,10,2,9
78,rickon, m,rickon, (cries),10,2,1
79,rickon, m,rickon, Do something!,6,2,2
80,rickon, m,rickon,  I'm fine.,7,2,2
81,rickon, m,rickon, Jack and Billy. They'll give us some food.,7,2,8
82,rickon, m,rickon,  They've all gone away.,8,1,4
83,rickon, m,rickon,"  No, they won't.",8,1,3
84,rickon, m,rickon,"  Here, Shaggydog.",10,1,2
85,rickon, m,rickon,  He doesn't like chains.,10,1,4
86,rickon, m,rickon,"  No, l came to see Father.",10,1,6
87,rickon, m,rickon,  He was down here. l saw him.,10,1,7
88,rickon, m,rickon,"  Last night, when l was sleeping. Here, Shaggydog.",10,1,8
89,robb, m,robb, No.,9,3,1
90,robb, m,robb," If we take Tywin's castle from him, the lords of Westeros will realize he's not invincible.  Take his home, take his gold, take his power.",9,3,25
91,robb, m,robb, You begged me not to send Theon to negotiate with his father and I ignored your advice.,9,3,17
92,robb, m,robb, Now Winterfell is burned to the ground.  The North is overrun with Ironborn and Bran and Rickon are gone.,9,3,19
93,robb, m,robb," So, Casterly Rock?  I'm asking your advice.",9,3,7
94,robb, m,robb, If Walder Frey cooperates.,9,3,4
95,robb, m,robb, We'll lose the war and die the way father died. Or worse.,9,3,12
96,robb, m,robb," We thank you for your hospitality, my lord.",9,3,8
97,robb, m,robb," I have come to make my apologies, my lord, and to beg your forgiveness.",9,3,14
98,robb, m,robb," My ladies.  All men should keep their word, kings most of all.  I was pledged to marry one of you and I broke that vow.  The fault is not with you.  Any man would be lucky to have any one of you.  I did what I did not to slight you, but because I loved another.  I know these words cannot set right the wrong I have done to you and your house.  I beg your forgiveness and pledge to do all I can to make amends so the Freys of the Crossing and the Starks of Winterfell may once again be friends.",9,3,103
99,robb, m,robb," Thank you, my lord.",9,3,4
100,robb, m,robb, My mother’s alone with Roose Bolton.  I should rescue her.,9,3,10
101,robb, m,robb, Be kind.  She’s finally starting to like you.,9,3,8
102,robb, m,robb, Perhaps I’ve made a terrible mistake.,9,3,6
103,robb, m,robb, Striking your king is an act of treason.,9,3,8
104,robb, m,robb," [Gets up from his seat and addresses WALDER] If you think the time is right, Lord Walder, by all means, let us bed them.",9,3,24
105,robb, m,robb, I suppose it does seem strange from a foreigner’s perspective.,9,3,10
106,robb, m,robb," It’s tradition. [TALISA stares at ROBB]  Without the bedding ceremony, there’s no real proof the lord and lady consummated their marriage.",9,3,21
107,robb, m,robb, Boy or girl?,9,3,3
108,robb, m,robb," Oh, do you?   It seems to me the father should have some say in his son’s naming.",9,3,17
109,robb, m,robb, I do.,9,3,2
110,robb, m,robb, Mother.,9,3,1
111,robb, m,robb, It's not about glory. Your instructions were to wait for him to come to you.,3,3,15
112,robb, m,robb, What value was the mill?,3,3,5
113,robb, m,robb, Is he there now? Of course not.,3,3,7
114,robb, m,robb," I wanted to draw the Mountain into the west, into our country where we could surround him and kill him. I wanted him to chase us, which he would have done because he is a mad without a strategic thought in his head. I could have that head on a spike by now. Instead, I have a mill.",3,3,58
115,robb, m,robb, Willem and Martyn Lannister are 14 years old.,3,3,8
116,robb, m,robb, Tywin Lannister has my sisters. Have I sued for peace?,3,3,10
117,robb, m,robb, Do you think he'll sue for peace because we have his father's brother's great-grandsons?,3,3,14
118,robb, m,robb, How many men did you lose?,3,3,6
119,robb, m,robb, We need our men more than Tywin needs his!,3,3,9
120,robb, m,robb,  You would have. Right here today at this gathering if you had been patient.,3,3,14
121,robb, m,robb, You know who isn't? Tywin Lannister.,3,3,6
122,robb, m,robb, Did you ever think you'd marry one?,2,3,7
123,robb, m,robb, Never?,2,3,1
124,robb, m,robb, We'll travel to the funeral together. Lord Bolton will garrison here until we return.,2,3,14
125,robb, m,robb," By the time Bolton's bastard-RAMSAY got to Winterfell, the ironborn were gone. They massacred everyone and put the castle to the torch. And BRAN and RICKON have not been found. They may have escaped. Or Theon may have taken them back to the Iron Islands as hostages.",2,3,47
126,robb, m,robb, No.,2,3,1
127,robb, m,robb, There won't be a siege. The Mountain can't defend a ruin.,1,3,11
128,robb, m,robb, The Lannisters have been running from us since Oxcross. I'd love a fight. The men would love a fight. I don't think we're going to get one.,1,3,27
129,robb, m,robb, Find her a chamber that will serve as a cell.,1,3,10
130,robb, m,robb, She freed Jaime Lannister. The Lannisters robbed them of their sons and she robbed them of their justice.,1,3,18
131,robb, m,robb," What's your name, friend?",1,3,4
132,robb, m,robb, Bring them in.,5,3,3
133,robb, m,robb, Is that all of them? It took five of you to murder two unarmed squires?,5,3,15
134,robb, m,robb, Vengeance? Those boys didn't kill your sons. I saw Harrion die on the battlefield and Torrhen--,5,3,16
135,robb, m,robb, They were boys! Look at them.,5,3,6
136,robb, m,robb, My mother had nothing to do with this. This was your treason.,5,3,12
137,robb, m,robb, Leave him.,5,3,2
138,robb, m,robb, Escort Lord Karstark to the dungeon. Hang the rest.,5,3,9
139,robb, m,robb, This one was only the watcher. Hang him last so he can watch the others die.,5,3,16
140,robb, m,robb, Would you make me a liar as well as a murderer?,5,3,11
141,robb, m,robb," I'm not fighting for justice if I don't serve justice to murderers in my ranks, no matter how highborn. He has to die.",5,3,23
142,robb, m,robb, You tended to their wounds. You brought them supper. Now they're dead.,5,3,12
143,robb, m,robb, That didn't stop you from betraying me. And it won't save you now.,5,3,13
144,robb, m,robb," Kneel, my lord.",5,3,3
145,robb, m,robb," Rickard Karstark, Lord of Karhold, here in sight of gods and men, I sentence you to die. Would you speak a final word?",5,3,23
146,robb, m,robb, You were right.,5,3,3
147,robb, m,robb, The Karstarks are gone. Almost half our forces. Tywin Lannister knows what he needs to do to make us unravel. Nothing. Only wait.,5,3,23
148,robb, m,robb, What can I do? Attack King's Landing? There's nothing he'd like better. He'd crush us in a day.,5,3,18
149,robb, m,robb," Winter could last five years. Once my bannermen are home again, sitting by the fire, surrounded by their families, warm and safe, they'll never ride south again. When I gathered my lords together, we had a purpose, a mission. Now we're like a band of bickering children.",5,3,47
150,robb, m,robb, What?,5,3,1
151,robb, m,robb, Here. And we're here. King's Landing--,5,3,6
152,robb, m,robb," I can't force them to meet us in the field and I can't attack them where they're strongest, but I can attack them where they're not.",5,3,26
153,robb, m,robb, And Casterly Rock can't run away. I'm going to take their home away from them.,5,3,15
154,robb, m,robb, Thank you for riding here so quickly. I know travel isn't easy in these times.,6,3,15
155,robb, m,robb, We are fighting for the North. Harrenhal is not in the North. It is his once the war is over and we have no further strategic need for it.,6,3,29
156,robb, m,robb, We will do whatever we can to give Lord Frey what he needs.,6,3,13
157,robb, m,robb, He has every right to be. Please excuse us while we discuss it.,6,3,13
158,robb, m,robb, He's a proud man and we've wounded him.,6,3,8
159,robb, m,robb," It's all right. You heard him. If you refuse, our alliance with the Freys is dead.",6,3,16
160,robb, m,robb, I have a war to fight. We can't win it without them. I have no time to haggle. You said you wanted to make amends for the Stone Mill.,6,3,29
161,robb, m,robb," I've won every battle, but I'm losing this war. If we don't do this and do it now, we're lost.",6,3,20
162,robb, m,robb," You're paying for my sins, Uncle. It's not fair or right. I'll remember it.",6,3,14
163,robb, m,robb, Frey will wait. He knows we're coming.,7,3,7
164,robb, m,robb, Edmure is the best match a Frey has had in the history of their house. We should all get some sleep.,7,3,21
165,robb, m,robb," If you don't put some clothes on, I can't promise I won't attack you again.",7,3,15
166,robb, m,robb, Who are you writing?,7,3,4
167,robb, m,robb, Is that Valyrian?,7,3,3
168,robb, m,robb, Gaaa? (sighs) Say hello for me.,7,3,6
169,robb, m,robb, 'Ritsas.',7,3,1
170,robb, m,robb, Does she know her daughter's a queen?,7,3,7
171,robb, m,robb," That will be a surprise, I expect.",7,3,7
172,robb, m,robb, How am I supposed to sit here planning a war when you're over there looking like that?,7,3,17
173,robb, m,robb,  I will.,7,3,2
174,robb, m,robb," What, now?  Are you certain?",7,3,5
175,robb, m,robb,  Angry? You're my queen.,7,3,4
176,robb, m,robb, Maybe one of each.,7,3,4
177,robb, m,robb,  I love you. Do you hear me?  I love you.,7,3,10
178,robb, m,robb, King in the North!,2,4,4
179,robb, m,robb, I am the rightful king.,2,4,5
180,robb, m,robb, Take that. -,2,4,3
181,robb, m,robb, I am the King in the North!,2,4,7
182,robb, m,robb,  I've never met her.,8,2,4
183,robb, m,robb," Frey, I suppose. I don't know her first name.",8,2,9
184,robb, m,robb, An important bridge.,8,2,3
185,robb, m,robb," It was before they killed my father. I still thought I could march south and rescue him in time, but only if I crossed that bridge.",8,2,26
186,robb, m,robb," He was the best man I ever met. I know children always think that about their fathers, but",8,2,18
187,robb, m,robb," He once told me that being a lord is like being a father, except you have thousands of children and you worry about all of them. The farmers plowing the fields are yours to protect. The charwomen scrubbing the floors, yours to protect. The soldiers you order into battle. He told me he woke with fear in the morning and went to bed with fear in the night. I didn't believe him. I asked him, ""How can a man be brave if he's afraid?"" ""That is the only time a man can be brave,"" he told me.",8,2,97
188,robb, m,robb, He would have liked you.,8,2,5
189,robb, m,robb, He didn't care much about gold or glory.,8,2,8
190,robb, m,robb, Because we'll never be safe until the Lannisters are defeated. And because I believe in justice.,8,2,16
191,robb, m,robb, That would be a start.,8,2,5
192,robb, m,robb, How? How?,8,2,2
193,robb, m,robb, Tell me this isn't true.,8,2,5
194,robb, m,robb, Why?,8,2,1
195,robb, m,robb, No! You knew I would not allow it and you did it anyway.,8,2,13
196,robb, m,robb, Jaime Lannister has played you for a fool. You've weakened our position. You've brought discord into our camp. And you did it all behind my back. Make sure she's guarded day and night.,8,2,33
197,robb, m,robb, Send another 40 with our fastest horses.,8,2,7
198,robb, m,robb, Still no word?,8,2,3
199,robb, m,robb, Theon has my brothers. If we storm the castle,8,2,9
200,robb, m,robb, Send word to your son. Any ironborn who surrender will be allowed to return safely to their homes.,8,2,18
201,robb, m,robb, Any ironborn with the exception of Theon Greyjoy. He betrayed our cause. He betrayed me. And we will hunt him down no matter where he runs.,8,2,26
202,robb, m,robb, How am I? I've had to arrest my mother. The Lannisters have my sisters. The man I considered my closest friend has seized my home and my brothers. I'm fighting a war and I don't know if I should march south or north.,8,2,43
203,robb, m,robb, No. Forgive me. You're being kind. I have no right.,8,2,10
204,robb, m,robb, That's not the kind of king I want to be.,8,2,10
205,robb, m,robb, I don't know. The good kind. Most kings grew up as princes. They spend their whole lives preparing for the crown. I was raised to be Lord of Winterfell.,8,2,29
206,robb, m,robb, I'd like to hear you play the harp.,8,2,8
207,robb, m,robb, How did you go from reciting Valyrian poetry to sawing off men's feet?,8,2,13
208,robb, m,robb, I don't want to marry the Frey girl.,8,2,8
209,robb, m,robb, But you needed that bridge. I hope it's a very beautiful bridge.,8,2,12
210,robb, m,robb, I know that.,10,2,3
211,robb, m,robb, I love her.,10,2,3
212,robb, m,robb, It is important to me.,10,2,5
213,robb, m,robb," And that is what would be in store for me with one of Walder Frey's daughters,  what you and father had?",10,2,21
214,robb, m,robb, Now you're arguing just to argue because you arranged it.,10,2,10
215,robb, m,robb, My father is dead. And the only parent I have left has no right to call anyone reckless.,10,2,18
216,robb, m,robb," Father, smith, warrior, mother ,maiden, crone, stranger.",10,2,7
217,robb, m,robb, I am hers and she is mine from this day until the end of my days.,10,2,16
218,robb, m,robb, I’m sending one of your cousins down to King’s Landing with my peace terms.,2,2,14
219,robb, m,robb, Men who fought my father.,2,2,5
220,robb, m,robb, I need his ships.,2,2,4
221,robb, m,robb," If I left you with one of my bannermen, your father would know within a fortnight, and my bannerman would receive a raven with a message, ""Release my son and you'll be rich beyond your dreams. Refuse and your house will be destroyed, root and stem.”",1,2,46
222,robb, m,robb," Oh, I trust them with my life. Just not with yours.",1,2,11
223,robb, m,robb," You insult yourself, Kingslayer. You've been defeated by a boy.",1,2,10
224,robb, m,robb, You're held captive by a boy. Perhaps you'll be killed by a boy. (Grey Wind enters the cage. Jaime looks very nervous). Stannis Baratheon sent ravens to all the high lords of Westeros. King Joffrey Baratheon is neither a true king nor a true Baratheon. (Jaime focuses back on Robb). He's your bastard son.,1,2,54
225,robb, m,robb, My father learned the truth. That's why you had him executed.,1,2,11
226,robb, m,robb, Your son killed him so the world wouldn't learn who fathered him. And you... you pushed my brother from a window because he saw you with the queen.,1,2,28
227,robb, m,robb, I'm sending one of your cousins down to King's Landing with my peace terms.,1,2,14
228,robb, m,robb," No, but he's starting to know me.",1,2,7
229,robb, m,robb, It's better than three defeats.,1,2,5
230,robb, m,robb, You're Ser Alton Lannister?,1,2,4
231,robb, m,robb," I offer your cousins peace if they meet my terms. First, your family must release my sisters. Second, my father's bones must be returned to us so he may rest beside his brother and sister in the crypts beneath Winterfell. And the remains of all those who died in his service must also be returned. Their families can honor them with proper funerals.",1,2,63
232,robb, m,robb," Third... Joffrey and the Queen Regent must renounce all claim to dominion of the North. From this time, till the end of time, we are a free and independent kingdom.",1,2,30
233,robb, m,robb," Neither Joffrey nor any of his men shall set foot in our lands again. If he disregards this command, he shall suffer the same fate as my father, only I don't need a servant to do my beheading for me.",1,2,40
234,robb, m,robb," These are my terms. If the Queen Regent and her son meet them, I'll give them peace. If not, I will litter the south with Lannister dead.",1,2,27
235,robb, m,robb," Oh, is he? You'll ride at daybreak, Ser Alton. That will be all for tonight.",1,2,15
236,robb, m,robb, You don't have to call me ‘Your Grace’ when no one's around.,1,2,12
237,robb, m,robb, I'm glad someone's gotten used to it.,1,2,7
238,robb, m,robb, Of course they are.,1,2,4
239,robb, m,robb, Men who fought my father.,1,2,5
240,robb, m,robb, I need his ships. They say he has 200.,1,2,9
241,robb, m,robb, I understand you don't trust Lord Greyjoy.,1,2,7
242,robb, m,robb," Yes. And now I'm the one rebelling against the throne. Before me, it was father. You married one rebel and mothered another.",1,2,22
243,robb, m,robb," If I trade the Kingslayer for two girls, my bannermen will string me up by my feet.",1,2,17
244,robb, m,robb, It's more complicated than that! You know it is.,1,2,9
245,robb, m,robb, You can't go to Winterfell.,1,2,5
246,robb, m,robb," I'll send Rodrik to watch over the boys, ‘cause tomorrow, you'll ride south to the Stormlands.",1,2,16
247,robb, m,robb," Because I need you to negotiate with Renly Baratheon. He's rallied an army of 100,000. You know him. You know his family.",1,2,22
248,robb, m,robb," Which of these lords do I trust more than you? If Renly sides with us, we'll outnumber them two to one. When they feel the jaws beginning to shut, they'll sue for peace. We'll get the girls back. Then we'll all go home for good.",1,2,45
249,robb, m,robb," We will all be together again soon, I promise.",1,2,9
250,robb, m,robb, (Pauses) Give Lord Renly my regards.,1,2,6
251,robb, m,robb," We're not executing prisoners, Lord Bolton.",4,2,6
252,robb, m,robb, I doubt it.,4,2,3
253,robb, m,robb, My father outlawed flaying in the North.,4,2,7
254,robb, m,robb, We're not torturing them.,4,2,4
255,robb, m,robb, The Lannisters hold prisoners of their own. I won't give them an excuse to abuse my sisters.,4,2,17
256,robb, m,robb, You'll die if she doesn't.,4,2,5
257,robb, m,robb, Put this in your mouth and lie down. You don't want to watch.,4,2,13
258,robb, m,robb," Bite on it. It's better than biting your own tongue, believe me.",4,2,12
259,robb, m,robb, What's your name?,4,2,3
260,robb, m,robb, Your last name?,4,2,3
261,robb, m,robb, You know my family name. You have me at a disadvantage.,4,2,11
262,robb, m,robb, They killed my father.,4,2,4
263,robb, m,robb, The family he fights for.,4,2,5
264,robb, m,robb, I have no hatred for the lad.,4,2,7
265,robb, m,robb," You'd have us surrender, end all this bloodshed. I understand. The country would be at peace and life would be just under the righteous hand of good King Joffrey.",4,2,29
266,robb, m,robb, If the gods give me strength.,4,2,6
267,robb, m,robb,  I don't know. We'll go back to Winterfell. I have no desire to sit on the Iron Throne.,4,2,18
268,robb, m,robb,  I don't know.,4,2,3
269,robb, m,robb, First we have to win the war.,4,2,7
270,robb, m,robb, You never told me where you're from.,4,2,7
271,robb, m,robb,  Volantis? You're far from home. The boy was lucky you were here.,4,2,12
272,robb, m,robb, Quent.,6,2,1
273,robb, m,robb, Lady Talisa.,6,2,2
274,robb, m,robb, I'm not sure I'm a lady.,6,2,6
275,robb, m,robb," It's hard to keep all the rules straight. But if I remember my lessons, a woman of noble birth is always called a lady. Unless she's a queen or a princess. I could find someone who knows.",6,2,37
276,robb, m,robb, Because it's obvious.,6,2,3
277,robb, m,robb, I'd call you a liar.,6,2,5
278,robb, m,robb, (nods),6,2,1
279,robb, m,robb," Better at amputations, I'm afraid.",6,2,5
280,robb, m,robb, Quite a pretty spot.,6,2,4
281,robb, m,robb, I couldn't really discuss troop movements with you.,6,2,8
282,robb, m,robb," Of course, a spy would deny being a spy.",6,2,9
283,robb, m,robb," Mother. Mother, this is Lady Talisa. She's been helping with the wounded. She's been very helpful.",6,2,16
284,robb, m,robb, I've missed you.,6,2,3
285,robb, m,robb," You surprised me, that's all. I didn't think I'd see you today.",6,2,12
286,robb, m,robb, I know.,6,2,2
287,robb, m,robb,  I know.,6,2,2
288,robb, m,robb, I haven't forgotten.,6,2,3
289,robb, m,robb, This cannot be true.,6,2,4
290,robb, m,robb, Why? Why would Theon,6,2,4
291,robb, m,robb, My brothers?,6,2,2
292,robb, m,robb, I must go north at once.,6,2,6
293,robb, m,robb, How can I call myself king if I can't hold my own castle? How can I ask men to follow me if I can't,6,2,24
294,robb, m,robb, There will be no talk. He will die for this.,6,2,10
295,robb, m,robb," Tell your son Bran and Rickon's safety is paramount. And Theon, I want him brought to me alive. I want to look him in the eye and ask him why. And then I'll take his head myself.",6,2,37
296,robb, m,robb, And what did she say?,7,2,5
297,robb, m,robb, And what then?,7,2,3
298,robb, m,robb," If every man were held accountable for the actions of every distant relative, Ser Alton, we'd all hang.",7,2,18
299,robb, m,robb," You've acted with honor. I thank you for it. Lord Karstark, see that Ser Alton's pen is clean, and give him a hot supper.",7,2,24
300,robb, m,robb, Is there room for Ser Alton?,7,2,6
301,robb, m,robb, Have the men build him a new pen. Put him in with the Kingslayer for now. Have your boy watch over them.,7,2,22
302,robb, m,robb, That will be all.,7,2,4
303,robb, m,robb," And my enemies, as some of my bannermen are fond of mentioning.",7,2,12
304,robb, m,robb, That's what I tell my bannermen.,7,2,6
305,robb, m,robb,  If you need help finding these,7,2,6
306,robb, m,robb," Continue, my lady.",7,2,3
307,robb, m,robb, Yes.,7,2,1
308,robb, m,robb, I expect he will.,7,2,4
309,robb, m,robb, Come with me to the Crag.,7,2,6
310,robb, m,robb," Let the maester show you his stores. I want the wounded men to be treated well, all the wounded men.",7,2,20
311,robb, m,robb, You know very well.,7,2,4
312,robb, m,robb,  lt's a birthday message to his grand-niece Walda.,9,1,8
313,robb, m,robb,  He's Grandfather's bannerman. We can't expect his support?,9,1,8
314,robb, m,robb,  Father rots in a dungeon. How long before they take his head? We need to cross the Trident and we need to do it now.,9,1,25
315,robb, m,robb,  Have my horse saddled and ready.,9,1,6
316,robb, m,robb,"  My father would do whatever it took to secure our crossing. Whatever it took. lf l'm going to lead this army, l can't have other men doing my bargaining for me.",9,1,31
317,robb, m,robb,  Well? What did he say?,9,1,5
318,robb, m,robb,  Huh.,9,1,1
319,robb, m,robb,  What does he want in return?,9,1,6
320,robb, m,robb,"   Fine, fine. And?",9,1,3
321,robb, m,robb,  She won't be happy about that. And?,9,1,7
322,robb, m,robb,  l see. Did you get a look at his daughters?,9,1,10
323,robb, m,robb,  And?,9,1,1
324,robb, m,robb,  Can l refuse?,9,1,3
325,robb, m,robb,  Then l consent.,9,1,3
326,robb, m,robb,"  By the time they knew what was happening, it had already happened.",9,1,12
327,robb, m,robb,  He's more use to us alive than dead.,9,1,8
328,robb, m,robb,"  lf we do it your way, Kingslayer, you'd win. We're not doing it your way.",9,1,15
329,robb, m,robb,"  l sent 2,000 men to their graves today.",9,1,8
330,robb, m,robb,  Aye. But the dead won't hear them. (making a speech to his bannermen) One victory does not make us conquerors. Did we free my father? Did we rescue my sisters from the queen? Did we free the North from those who want us on our knees? This war is far from over.,9,1,52
331,robb, m,robb,  Treason? Sansa wrote this?,8,1,4
332,robb, m,robb,"  Joffrey puts my father in chains, now he wants his ass kissed?",8,1,12
333,robb, m,robb,"  I won't refuse. His Grace summons me to King's Landing, I'll go to King's Landing.",8,1,15
334,robb, m,robb,"  They've all sworn to defend my father, have they not?",8,1,10
335,robb, m,robb,  I must be.,8,1,3
336,robb, m,robb,  Why is that good?,8,1,4
337,robb, m,robb,  Galbart Glover will lead the Van.,8,1,6
338,robb, m,robb,"  You are welcome to do so, Lord Umber.",8,1,8
339,robb, m,robb,  My Lord father taught me it was death to bare steel against your Liege Lord.,8,1,15
340,robb, m,robb,"  Shh, it's all right.",8,1,4
341,robb, m,robb,  South. For father.,8,1,3
342,robb, m,robb,  The Lannisters have spies everywhere.,8,1,5
343,robb, m,robb,"  Aye, they do.",8,1,3
344,robb, m,robb,  There must always be a Stark at Winterfell.,8,1,8
345,robb, m,robb,"  I'll send letters whenever I can, but if you don't hear from me, don't be scared.",8,1,16
346,robb, m,robb,  The River Lords are falling back with Jaime Lannister at their heels.,8,1,12
347,robb, m,robb,  Mother!,8,1,1
348,robb, m,robb,  There was no one else.,8,1,5
349,robb, m,robb,  None of them are Starks.,8,1,5
350,robb, m,robb,  If you think you can send me back to Winterfell...,8,1,10
